,2012,City Name,City Code
0,994928.88,Australia,AUS
1,199969.65,Sydney,AUS01
2,167012.33,Melbourne,AUS02
3,90572.54,Brisbane,AUS03
4,124116.87,Perth,AUS04
5,47478.78,Adelaide,AUS05
6,22320.95,Gold Coast-Tweed Heads,AUS06
7,363549.0,Austria,AUT
8,129515.54,Vienna,AT001
9,26748.62,Graz,AT002
10,28421.62,Linz,AT003
11,435625.05,Belgium,BEL
12,134939.93,Brussels,BE001
13,49311.67,Antwerp,BE002
14,20982.94,Ghent,BE003
15,21519.42,Liege,BE005
16,1429376.2,Canada,CAN
17,93175.08,Vancouver,CAN09
18,149360.42,Montreal,CAN20
19,271449.31,Toronto,CAN26
20,80875.7,Edmonton,CAN01
21,88521.22,Calgary,CAN04
22,31069.71,Winnipeg,CAN06
23,29464.54,Quebec,CAN16
24,56323.09,Ottawa-Gatineau,CAN21
25,24807.49,Hamilton,CAN29
26,413367.65,Switzerland,CHE
27,77011.48,Zurich,CH001
28,43897.09,Geneva,CH002
29,41374.98,Basel,CH003
30,346440.56,Chile,CHL
31,17070.21,Valparaíso,CL010
32,164436.24,Santiago,CL011
33,11410.54,Concepción,CL020
34,286885.08,Czech Republic,CZE
35,86433.96,Prague,CZ001
36,17126.82,Brno,CZ002
37,13002.03,Ostrava,CZ003
38,3363273.99,Germany,DEU
39,165376.72,Berlin,DE001
40,158074.25,Hamburg,DE002
41,184700.85,Munich,DE003
42,91380.03,Cologne,DE004
43,143516.43,Frankfurt,DE005
44,108876.88,Stuttgart,DE007
45,28890.67,Essen,DE006
46,27933.06,Leipzig,DE008
47,26969.13,Dresden,DE009
48,31129.71,Dortmund,DE010
49,71530.51,Düsseldorf,DE011
50,44593.76,Bremen,DE012
51,55135.63,Hanover,DE013
52,56099.86,Nuremberg,DE014
53,23294.48,Bochum,DE015
54,22102.97,Freiburg im Breisgau,DE027
55,25205.45,Augsburg,DE033
56,35903.52,Bonn,DE034
57,34567.91,Karlsruhe,DE035
58,22751.8,Saarbrücken,DE040
59,32928.89,Duisburg,DE501
60,55013.87,Mannheim,DE502
61,22475.43,Münster,DE504
62,19496.51,Aachen,DE507
63,233066.59,Denmark,DNK
64,98431.89,Copenhagen,DK001
65,31808.33,Estonia,EST
66,19514.66,Tallinn,EE001
67,1466201.92,Spain,ESP
68,281713.66,Madrid,ES001
69,135803.15,Barcelona,ES002
70,45865.8,Valencia,ES003
71,37140.8,Seville,ES004
72,28593.72,Zaragoza,ES005
73,19593.54,Málaga,ES006
74,17317.75,Las Palmas,ES008
75,38248.5,Bilbao,ES019
76,207673.37,Finland,FIN
77,75980.68,Helsinki,FI001
78,2299770.97,France,FRA
79,707134.27,Paris,FR001
80,87804.33,Lyon,FR003
81,65518.12,Marseille,FR203
82,51905.7,Toulouse,FR004
83,27757.48,Strasbourg,FR006
84,42193.65,Bordeaux,FR007
85,32996.1,Nantes,FR008
86,43117.69,Lille,FR009
87,21106.69,Montpellier,FR010
88,15620.49,Saint-Étienne,FR011
89,24768.93,Rennes,FR013
90,22931.16,Grenoble,FR026
91,15205.29,Toulon,FR032
92,31753.93,Nice,FR205
93,23618.86,Rouen,FR215
94,274464.83,Greece,GRC
95,125724.3,Athens,GR001
96,18850.88,Thessalonica,GR002
97,215424.16,Hungary,HUN
98,102939.82,Budapest,HU001
99,200429.51,Ireland,IRL
100,95902.65,Dublin,IE001
101,2012610.19,Italy,ITA
102,189919.29,Rome,IT001
103,234523.98,Milan,IT002
104,77675.14,Naples,IT003
105,67329.28,Turin,IT004
106,20795.05,Palermo,IT005
107,29223.39,Genova,IT006
108,32021.78,Florence,IT007
109,14349.14,Bari,IT008
110,35961.39,Bologna,IT009
111,13419.08,Catania,IT010
112,20561.85,Venice,IT011
113,4607779.62,Japan,JPN
114,52093.55,Sendai,JP013
115,67191.66,Sapporo,JP003
116,1475630.28,Tokyo,JP030
117,255786.85,Nagoya,JP034
118,596941.25,Osaka,JP038
119,83021.24,Fukuoka,JP066
120,35269.1,Niigata,JP015
121,20171.58,Toyama,JP020
122,17716.81,Nagano,JP021
123,26092.21,Kanazawa,JP023
124,28610.52,Utsunomiya,JP024
125,34246.31,Maebashi,JP025
126,21387.43,Mito,JP026
127,17336.87,Kofu,JP031
128,19952.13,Numazu,JP036
129,27677.6,Shizuoka,JP039
130,32365.62,Anjo,JP040
