,Country Code,2015,Country Name
55,AUS,1102733.0081,Australia
157,AUT,415004.6376,Austria
249,BEL,496477.4129,Belgium
341,CAN,1588597.0234,Canada
413,CZE,345646.6903,Czech Republic
489,DNK,264636.2951,Denmark
585,FIN,224646.6871,Finland
687,FRA,2647705.6686,France
789,DEU,3857071.1529,Germany
891,GRC,288778.1132,Greece
962,HUN,251841.8703,Hungary
1033,ISL,15398.8106,Iceland
1125,IRL,302314.3924,Ireland
1217,ITA,2182580.2585,Italy
1309,JPN,4738293.5674,Japan
1401,KOR,1748776.5108,Korea
1493,LUX,58065.0392,Luxembourg
1585,MEX,2187509.3525,Mexico
1678,NLD,818256.7822,Netherlands
1771,NZL,169959.5001,New Zealand
1863,NOR,317973.173,Norway
1935,POL,993129.1204,Poland
2007,PRT,302316.3441,Portugal
2077,SVK,156632.2766,Slovak Republic
2147,ESP,1602661.3769,Spain
2249,SWE,457642.9801,Sweden
2341,CHE,506220.75,Switzerland
2433,TUR,1542572.8909,Turkey
2535,GBR,2698910.2608,United Kingdom
2637,USA,18036648.0,United States
2713,CHL,400534.442,Chile
2779,CHN,18998212.5625,China
2866,EST,36483.3783,Estonia
2983,ISR,296847.9755,Israel
3069,SVN,64274.1686,Slovenia
3230,EU28,19279822.7027,
3297,OECD,51165188.5187,OECD
3365,OECDE,20895289.1389,
3408,LVA,48048.6085,Latvia
3474,LTU,80555.6075,Lithuania
3521,SAU,1731395.7702,
3567,EA19,13627949.9508,
3600,ARG,881316.2319,
3628,CRI,74476.5134,
