,2011,Country Name,Country Code
0,22340000.0,Australia,AUS
1,8388534.0,Austria,AUT
2,11047740.0,Belgium,BEL
3,34483980.0,Canada,CAN
4,17248450.0,Chile,CHL
5,10496670.0,Czech Republic,CZE
6,5570572.0,Denmark,DNK
7,1334947.0,Estonia,EST
8,5386000.0,Finland,FIN
9,63223160.0,France,FRA
10,81039750.0,Germany,DEU
11,11124000.0,Greece,GRC
12,9958823.0,Hungary,HUN
13,319013.5,Iceland,ISL
14,4574900.0,Ireland,IRL
15,7765800.0,Israel,ISR
16,60626440.0,Italy,ITA
17,127799000.0,Japan,JPN
18,49779440.0,Korea,KOR
19,518346.0,Luxembourg,LUX
20,115682900.0,Mexico,MEX
21,16693070.0,Netherlands,NLD
22,4384000.0,New Zealand,NZL
23,4953000.0,Norway,NOR
24,38525670.0,Poland,POL
25,10557560.0,Portugal,PRT
26,5398384.0,Slovak Republic,SVK
27,2052496.0,Slovenia,SVN
28,46736260.0,Spain,ESP
29,9449212.0,Sweden,SWE
30,7912398.0,Switzerland,CHE
31,74223630.0,Turkey,TUR
32,62435200.0,United Kingdom,GBR
33,311721600.0,United States,USA
34,741329200.0,G7,
35,1243751000.0,OECD - Total,
36,6997999000.0,World,
37,194932700.0,Brazil,
38,1368440000.0,China (People's Republic of),
39,46044600.0,Colombia,
40,1221156000.0,India,
41,243801600.0,Indonesia,
42,142961000.0,Russia,
43,51949040.0,South Africa,
