,Country,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services
0,Australia,8.2875,7.075,8.025,7.7125,9.45,9.8,7.5875
1,Austria,8.06666666667,5.65555555556,9.71111111111,7.37777777778,3.26666666667,6.5,7.86666666667
2,Belgium,4.6,4.46666666667,7.23333333333,6.16666666667,2.46666666667,9.9,7.96666666667
3,Canada,6.6,5.62307692308,6.88461538462,5.88461538462,8.46153846154,5.36153846154,8.1
4,Chile,6.78666666667,0.9,5.48,3.57333333333,7.9,0.446666666667,1.15333333333
5,Czech Republic,7.525,2.5,7.8875,3.0375,1.9,2.9625,7.3375
6,Denmark,8.08,3.96,9.68,5.88,6.08,9.22,8.64
7,Estonia TL3,7.0,1.42,4.76,1.64,6.72,3.5,7.4
8,Finland,7.4,4.36,9.72,7.32,7.98,4.58,8.52
9,France,5.53181818182,4.89545454545,8.75454545455,8.43181818182,5.28636363636,8.22727272727,7.31818181818
10,Germany,8.15,5.3875,9.0875,6.175,3.9625,5.59375,8.81875
11,Greece,0.653846153846,1.72307692308,5.1,7.9,3.76923076923,4.03076923077,5.49230769231
12,Hungary,5.71428571429,1.78571428571,8.31428571429,0.442857142857,2.5,3.34285714286,6.92857142857
13,Iceland,9.55,3.7,10.0,8.0,9.75,8.15,9.75
14,Ireland,5.2,4.45,7.55,6.85,8.4,5.5,7.7
15,Israel,7.4,1.71666666667,8.33333333333,8.21666666667,0.583333333333,3.83333333333,6.28333333333
16,Italy,4.33333333333,4.34761904762,9.03333333333,9.13333333333,3.9380952381,6.81428571429,6.6
17,Japan,9.71,4.38,9.57,9.72,4.36,1.36,6.26
18,Korea,8.38571428571,3.45714285714,7.32857142857,8.42857142857,0.842857142857,6.88571428571,10.0
19,Luxembourg,6.7,7.1,9.5,8.1,5.1,10.0,9.9
20,Mexico,6.915625,0.165625,0.3625,1.45,5.684375,3.7375,1.40625
21,Netherlands,7.74166666667,3.85833333333,9.53333333333,7.175,3.98333333333,6.69166666667,9.91666666667
22,New Zealand,8.85714285714,3.43571428571,9.31428571429,5.75,9.93571428571,6.57857142857,6.77857142857
23,Norway,9.28571428571,5.25714285714,9.42857142857,7.47142857143,8.85714285714,7.32857142857,8.85714285714
24,Poland,5.1375,2.25625,7.85,2.24375,3.0625,0.69375,6.55625
25,Portugal,4.85714285714,3.55714285714,8.28571428571,5.5,7.65714285714,1.71428571429,5.55714285714
26,Slovak Republic,5.05,2.95,8.25,1.325,2.35,0.3,7.475
27,Slovenia,6.1,3.05,7.5,6.45,3.85,1.3,7.35
28,Spain,1.87894736842,3.82631578947,9.54210526316,9.07368421053,6.26315789474,4.94210526316,6.92105263158
29,Sweden,8.15,4.4625,9.4625,7.6,7.925,9.25,8.75
30,Switzerland,9.3,5.11428571429,9.64285714286,9.25714285714,3.31428571429,0.6,8.74285714286
31,Turkey,4.1,0.619230769231,6.67692307692,2.96153846154,2.65384615385,9.41538461538,2.39615384615
32,United Kingdom,7.775,4.875,9.13333333333,6.725,6.325,4.4,9.03333333333
33,United States,7.66274509804,9.02549019608,4.03725490196,4.35098039216,7.17647058824,3.81176470588,7.65098039216
