City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AUS: Australia,691152.36,717852.24,739956.7,770713.63,795503.38,819294.24,850100.88,881574.11,896841.37,914440.69,935669.23,970549.28,994928.88,1020256.34,..
  AUS01: Sydney,156651.25,159041.74,162921.15,168800.68,171362.6,172117.23,174386.45,178855.15,179306.22,185883.96,187518.94,193344.24,199969.65,203686.05,0
  AUS02: Melbourne,125678.45,131428.45,136495.17,140221.7,144045.5,143613.93,147274.72,153147.5,150195.98,156649.07,155780.22,160325.45,167012.33,170998.46,..
  AUS03: Brisbane,53957.19,58501.74,60000.61,64596.33,69493.79,75194.63,79535.89,82445.7,87797.16,84736.57,85379.61,89189.6,90572.54,91773.27,..
  AUS04: Perth,56532.58,58800.94,61300.96,64066.87,67570.14,75539.28,83657.74,89813.8,97618.25,99818.21,114649.47,123376.17,124116.87,133487.2,..
  AUS05: Adelaide,36250.35,38102.11,39181.21,40575.16,40921.01,41347.99,42537.1,44485.82,43860.2,45406.07,45941.86,46349.7,47478.78,48300.48,..
  AUS06: Gold Coast-Tweed Heads,12372.45,13478.17,14016.5,15312.92,16614.52,18088.72,19279.9,20194.39,21580.51,20856.96,21042.92,21961.27,22320.95,22619.57,..
AUT: Austria,301216.56,305285.16,310340.26,312686.12,321146.91,328021.35,339013.13,351290.63,356725.43,343173.18,349625.78,360364.11,363549,364378.62,..
  AT001: Vienna,110421.24,111616.79,114170.48,113811.3,116651.49,118266.98,122599.63,125656.56,128232.53,124490.8,126318.86,129024.35,129515.54,..,..
  AT002: Graz,21384.45,21638.06,21861.58,22505.88,23511.63,24096.2,24566.47,25551.49,25866.05,24902.89,25255.93,26341.14,26748.62,..,..
  AT003: Linz,23292.8,23765.51,23847.71,24392.64,24788.9,25395.29,26214.82,27054.89,28189.91,26881.99,27364.35,28181.89,28421.62,..,..
BEL: Belgium,368831.76,372240.43,378045.72,381409.5,394510.1,401981.57,412554.27,424932.29,428983.87,417750.3,428198.46,435215.04,435625.05,436821.9,..
  BE001: Brussels,113625.39,116039.1,118326.82,118983.26,123098.84,125730.29,128037.98,131270.8,132818.2,131649.69,135785.09,136007,134939.93,135287.83,..
  BE002: Antwerp,41746.89,41426.37,42449.62,42578.12,44469.54,45815.53,46709.39,48095.52,48497.24,46502.81,47672.72,48734.29,49311.67,49376.74,..
  BE003: Ghent,16781.54,16955.58,17426.33,17722.53,18410.98,18720.32,19310.15,20161.89,20251.43,19946.79,20381.6,20843.99,20982.94,21132.87,..
  BE005: Liege,18677.61,18697.46,18763.49,18798.99,19408.75,19715.37,20316.22,20931.02,21297.92,20787.83,21061.38,21638.07,21519.42,21490.8,..
CAN: Canada,1127926.69,1146970.31,1179106.91,1201808.46,1239530.69,1278738.65,1312264.38,1338618.73,1354353.21,1317630.31,1362090.5,1402409.78,1429376.2,1458013.88,..
  CAN09: Vancouver,70892.61,71128.45,72908.98,74822.72,78828.29,82569.15,86729.25,88933.96,88879.21,87553.19,89948.32,92131.91,93175.08,95126.64,..
  CAN20: Montreal,123986.19,126354.06,130796.11,132292.56,134391.51,134851.13,136508.89,139232.02,137534.14,141554.09,144222.5,146365.86,149360.42,149838.53,..
  CAN26: Toronto,221800.29,227214.2,237568.44,238356.73,243419.52,247251.3,251547.93,254911.94,249240.64,252214.36,261063.23,265515.68,271449.31,275676.88,..
  CAN01: Edmonton,49138.62,50721.23,49792.84,54492.61,58955.43,66217.7,70180.68,72163.43,79265.44,67834.98,72472.26,77760.38,80875.7,85417.97,..
  CAN04: Calgary,50987.63,52854.93,52245.6,57573.19,62721.51,70939.93,75713.11,77998.92,85840.09,73605.3,78794.2,84716.19,88521.22,93933.09,..
  CAN06: Winnipeg,23969.24,24364.16,25056.57,24869.77,25621.05,26062.51,27509.32,28431.5,28827.46,28714.69,29204.58,29746.95,31069.71,31773.07,..
  CAN16: Quebec,24510.68,24981.55,25777.76,25987.89,26311.89,26311.18,26540.83,27152.88,26902.95,27772.58,28380.54,28887.54,29464.54,29543.04,..
  CAN21: Ottawa-Gatineau,47455.54,48503.93,50338.28,50300.16,51005.55,51351.88,51843.74,52698.59,51720.24,52605.67,54338.14,55304.09,56323.09,56838.15,..
  CAN29: Hamilton,23040.6,23384.58,24183.6,23989.86,24212.83,24296.28,24408.79,24509.08,23740.54,23795.61,24391.95,24562.84,24807.49,24880.81,..
CHE: Switzerland,..,..,..,..,..,..,..,..,398551.99,390064.36,401586.14,408832.98,413367.65,..,..
  CH001: Zurich,..,..,..,..,..,..,..,..,75288.75,73566.38,74183.59,75722.15,77011.48,..,..
  CH002: Geneva,..,..,..,..,..,..,..,..,42683.8,41383.65,42807.19,43448.56,43897.09,..,..
  CH003: Basel,..,..,..,..,..,..,..,..,40443.4,39493.43,40298.44,41263.02,41374.98,..,..
CHL: Chile,206749.24,213505.56,219249.13,227520.06,243483.18,258522.43,273243.56,287345.18,296501.41,293401.8,310380.09,328522.91,346440.56,361106.67,..
  CL010: Valparaíso,10118.4,10349.29,10680.73,10939.07,11748.54,12473.17,13391.09,13584.21,14286.38,14055.99,15073.46,15946.37,17070.21,18075.56,..
  CL011: Santiago,92498.33,94212.59,97103.25,100503.62,108100.67,115802.71,122523.66,131163.12,136573.55,136706.99,139483.38,149830.2,164436.24,173833.21,..
  CL020: Concepción,7437.67,7543.22,8054.81,8444.16,9063.73,9812.61,10288.65,10587.21,10761.47,10562.63,10261.39,11395.15,11410.54,11728.34,..
CZE: Czech Republic,207270.17,213595.06,217112.87,224932.93,236061.39,251269.08,268547.71,283396.43,291079.18,276985.75,283342.82,288899.8,286885.08,287320.25,..
  CZ001: Prague,57286.45,59948.71,61747.84,65132.08,68643.07,73857.41,79808.93,86036.39,89705.63,84998.72,87400.43,87467.36,86433.96,87076.06,..
  CZ002: Brno,11496.01,11875.71,12045.96,12582.86,13073.99,13810.65,14782,15800.03,16682,15910.37,16326.33,16812,17126.82,17578.97,..
  CZ003: Ostrava,8965.06,9231.96,9306.21,9580.78,10561.21,11602.42,12064.18,12735.95,13129,12031.32,12489.13,13079.75,13002.03,12588.72,..
DEU: Germany,2957339.32,3007474.68,3007798.11,2986126.71,3021383.19,3042731.14,3155616.56,3258798.37,3293084.47,3107421.9,3234539.32,3350659.27,3363273.99,3366831.98,..
  DE001: Berlin,142875.74,143308.7,141769.47,139023.49,138696.24,141018.59,146192.51,151083.87,157171.52,155193.47,159818.95,165032.92,165376.72,..,..
  DE002: Hamburg,144766.13,150370.69,149983.24,147797.05,150248.82,152638.66,155697.02,158219.88,161136.37,152204.88,155825.95,156702.23,158074.25,..,..
  DE003: Munich,157659.71,162901.9,164286.57,161549.64,163981.86,166142.35,170997.17,178837.39,174575.54,169119.8,173444.29,184179.39,184700.85,..,..
  DE004: Cologne,82900.11,84825.91,84749.26,83130.71,84409.62,83542.3,87013.03,91033.82,88676,85141.96,89221.27,90787.15,91380.03,..,..
  DE005: Frankfurt,137483.54,141863.75,139844.41,141158.12,141258.37,142232.39,146450.49,149673.98,150364.68,140204.15,142081.07,144173.34,143516.43,..,..
  DE007: Stuttgart,95209.16,100373.15,99484.71,99901.59,98349.11,95833.58,102842.61,107892.41,105202.13,92928.29,102479.82,107720.08,108876.88,..,..
  DE006: Essen,24160.81,24538.95,24704.45,24794.04,25089.17,25191.36,25882.29,27033.99,28546.42,27165.46,27843.16,28783.68,28890.67,..,..
  DE008: Leipzig,22296.64,22762.04,23100.14,23037.48,23416.94,23451.94,24918.48,25587.6,26042,25407.58,26126.84,27566.74,27933.06,..,..
  DE009: Dresden,22093.81,23105.71,24074.07,24717.77,25693.68,25420.15,26279.57,26924.65,26876.97,25573.74,26399.58,26941.03,26969.13,..,..
  DE010: Dortmund,25586.26,26338.92,26679.52,26893.15,27871.49,28585.82,28434.69,29991.01,30288.17,28936.31,29599.49,30577.61,31129.71,..,..
  DE011: Düsseldorf,63313.78,65695.52,64984.54,64606.69,66216.87,66481.93,67746.84,71802.56,72965.5,67988.85,69882.38,71624.66,71530.51,..,..
  DE012: Bremen,40742.24,41306.06,41592.43,41452.12,41792.55,41818.75,43626.29,44739.82,45152.75,40936.35,43145.78,44352.09,44593.76,..,..
  DE013: Hanover,47164.72,47113.97,46849.56,46876.35,46509.67,49583.71,51938.19,51821.37,53250.07,50957.8,52895.42,55041.54,55135.63,..,..
  DE014: Nuremberg,48040.47,46996.11,48419.51,47946.13,49607.7,48904.93,50628.81,52377.29,53447.39,51863.56,53144.02,55610.61,56099.86,..,..
  DE015: Bochum,22012.02,21413.45,21322.96,21194.71,21265.41,21479.45,22353.47,22873.33,23223.21,21123.79,22567.25,23506.02,23294.48,..,..
  DE027: Freiburg im Breisgau,18658.48,19018.85,19411.25,19029.29,19342.75,19479.19,20401.16,21060.62,21278.98,20070.48,20930.83,22237.19,22102.97,..,..
  DE033: Augsburg,20666.91,21093.4,21591.46,21492.93,21916.75,22226.61,23253.48,23645.43,23843.04,23005.75,23837.76,25049.1,25205.45,..,..
  DE034: Bonn,29008.2,29165.3,32051.96,29481.17,29759.84,29902.8,31253.77,32624.43,33972.04,33940.78,34512.58,35588.33,35903.52,..,..
  DE035: Karlsruhe,28700.65,29557.97,29494.41,29188.77,30134.76,30387.85,32270.31,33335.92,33665.68,31190.48,33060.44,34202.65,34567.91,..,..
  DE040: Saarbrücken,20722.45,20862.67,20614.08,20496.75,21233.28,22100.09,22910.36,23546.07,23584.54,20977.43,21926.44,22890.63,22751.8,..,..
  DE501: Duisburg,27557.5,27954.87,28239.94,28375.18,28558.83,28654.13,29385.07,30814.7,32679.24,31110.29,31591.75,32763.42,32928.89,..,..
  DE502: Mannheim,50121.76,50789.48,51474.16,50699.55,51221.17,50890.71,52915.13,54308.64,54826.39,51643.2,53358.87,54963.51,55013.87,..,..
  DE504: Münster,17762.93,18020.09,18011.22,18240.61,18670.54,19001.08,19954.15,20987.03,21996,20383.95,21186.56,22123.85,22475.43,..,..
  DE507: Aachen,17618.43,16736.17,17925.11,17583.49,18064.94,17947.14,18428.38,19001.91,19294.57,18438.19,18866.17,19294.92,19496.51,..,..
DNK: Denmark,216459.42,218241.22,219258.88,220114.18,225922.89,231428.7,240215.45,242195.83,240456.97,228222.67,231931.59,234603.78,233066.59,231933.4,..
  DK001: Copenhagen,87174.81,88093.67,87473.36,88416.07,92032.99,95963.73,96504.67,97274.71,96713.97,94177.32,98292.06,97790.14,98431.89,98832.25,..
EST: Estonia,20186.13,21426.24,22740.65,24438.97,26022.38,28487.72,31454.65,33939.49,32131.26,27395.62,28074.15,30394.85,31808.33,32326.67,..
  EE001: Tallinn,11557.63,12369.26,13296.44,14443.05,15665.63,16976.09,19112.54,20277.96,19029.99,16749.55,16804.88,18418.79,19514.66,..,..
ESP: Spain,1209872.47,1258280.47,1294516.43,1335779.91,1378080.79,1429387.28,1489051.7,1545173.26,1562416.25,1506578.63,1506786.66,1497480.36,1466201.92,1448168.25,..
