Metropolitan areas,Total land area (km2)
AUS: Australia,7703354
  AUS01: Sydney,12229.11
  AUS02: Melbourne,10103.28
  AUS03: Brisbane,15441.89
  AUS04: Perth,6309.49
  AUS05: Adelaide,3239.1
  AUS06: Gold Coast-Tweed Heads,1811.08
AUT: Austria,82450.2
  AT001: Vienna,9093.06
  AT002: Graz,3074.2
  AT003: Linz,3523.72
BEL: Belgium,30328
  BE001: Brussels,3265.7
  BE002: Antwerp,1169.26
  BE003: Ghent,1017.36
  BE005: Liege,1414.19
CAN: Canada,9093507
  CAN09: Vancouver,5063.57
  CAN20: Montreal,10962.77
  CAN26: Toronto,14412.81
  CAN01: Edmonton,19808.01
  CAN04: Calgary,12478.49
  CAN06: Winnipeg,21715.54
  CAN16: Quebec,6123.6
  CAN21: Ottawa-Gatineau,17251.92
  CAN29: Hamilton,2571.88
CHE: Switzerland,39995.7
  CH001: Zurich,1176.16
  CH002: Geneva,1566.51
  CH003: Basel,1430.18
CHL: Chile,740243
  CL010: Valparaíso,1323.84
  CL011: Santiago,4557.33
  CL020: Concepción,1868.67
CZE: Czech Republic,77258
  CZ001: Prague,3929.04
  CZ002: Brno,2359.25
  CZ003: Ostrava,931.72
DEU: Germany,357093
  DE001: Berlin,6176.37
  DE002: Hamburg,5760.18
  DE003: Munich,6263.09
  DE004: Cologne,1971.56
  DE005: Frankfurt,3888.09
  DE007: Stuttgart,1987.61
  DE006: Essen,344.67
  DE008: Leipzig,2121.96
  DE009: Dresden,1716.19
  DE010: Dortmund,547.87
  DE011: Düsseldorf,1132.95
  DE012: Bremen,3176.34
  DE013: Hanover,3090.73
  DE014: Nuremberg,3122.57
  DE015: Bochum,319.87
  DE027: Freiburg im Breisgau,1515.07
  DE033: Augsburg,1803.5
  DE034: Bonn,1066.66
  DE035: Karlsruhe,1323.91
  DE040: Saarbrücken,1040.99
  DE501: Duisburg,671.31
  DE502: Mannheim,1949.78
  DE504: Münster,1706.47
  DE507: Aachen,775.3
DNK: Denmark,43097
  DK001: Copenhagen,4083.69
EST: Estonia,43432
  EE001: Tallinn,4326.3
ESP: Spain,501757
  ES001: Madrid,11537.63
  ES002: Barcelona,1362.03
  ES003: Valencia,1474.97
  ES004: Seville,4164.31
  ES005: Zaragoza,11890.63
  ES006: Málaga,1623.07
  ES008: Las Palmas,790.06
  ES019: Bilbao,1141.01
FIN: Finland,304111.7
  FI001: Helsinki,6350.71
FRA: France,543965
  FR001: Paris,12089.37
  FR003: Lyon,3647.29
  FR203: Marseille,4230.79
  FR004: Toulouse,5242.14
  FR006: Strasbourg,2030.87
  FR007: Bordeaux,5485.85
  FR008: Nantes,3143.52
  FR009: Lille,1453.1
  FR010: Montpellier,2236.6
  FR011: Saint-Étienne,1799.48
  FR013: Rennes,3815.73
  FR026: Grenoble,2694.43
  FR032: Toulon,1048.19
  FR205: Nice,3096.9
  FR215: Rouen,2870.11
GRC: Greece,130820
  GR001: Athens,1656.14
  GR002: Thessalonica,1399.95
HUN: Hungary,93028.4
  HU001: Budapest,6056.87
IRL: Ireland,68394
  IE001: Dublin,4767.19
ITA: Italy,295114
  IT001: Rome,5686.46
  IT002: Milan,2637.77
  IT003: Naples,1558.57
  IT004: Turin,1781.34
  IT005: Palermo,835.58
  IT006: Genova,1113.59
  IT007: Florence,1737.87
  IT008: Bari,754.98
  IT009: Bologna,2036.1
  IT010: Catania,609.35
  IT011: Venice,1089.17
JPN: Japan,373530
  JP013: Sendai,1658.58
  JP003: Sapporo,2174.93
  JP030: Tokyo,8592.12
  JP034: Nagoya,3943.23
  JP038: Osaka,7003.88
  JP066: Fukuoka,1153.78
  JP015: Niigata,1538.91
  JP020: Toyama,1563.38
  JP021: Nagano,1241.81
  JP023: Kanazawa,1282.8
  JP024: Utsunomiya,989.68
  JP025: Maebashi,1188.35
  JP026: Mito,644.15
  JP031: Kofu,790.85
  JP036: Numazu,482.25
  JP039: Shizuoka,1171.16
  JP040: Anjo,284.03
  JP042: Yokkaichi,433.2
  JP046: Himeji,881.27
  JP047: Toyohashi,764.3
  JP048: Hamamatsu,1455.54
  JP050: Okayama,1096.05
  JP051: Kurashiki,530.72
  JP052: Fukuyama,707.01
  JP053: Hiroshima,1193.35
  JP054: Takamatsu,598.83
  JP055: Wakayama,422.57
  JP059: Tokushima,791.65
  JP064: Kitakyushu,564.54
  JP065: Matsuyama,796.88
  JP067: Kochi,985.06
  JP071: Oita,928.52
  JP074: Kumamoto,813.83
  JP075: Nagasaki,381.54
  JP077: Kagoshima,762.65
  JP078: Naha,418.89
KOR: Korea,99461
  KR004: Seoul Incheon,4673.13
