Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,19029000,19275000,19495000,19721000,19933000,20177000,20451000,20828000,21249000,21692000,22032000,22340000,22728000,23126000,23491000
Austria,8011566,8042293,8082121,8118245,8169441,8225278,8267948,8295189,8321541,8341483,8361069,8388534,8426311,8468570,..
Belgium,10251250,10286570,10332780,10376130,10421140,10478620,10547960,10625700,10709970,10796490,10920270,11047740,11128250,..,..
Canada,30685730,31019020,31353660,31639670,31940680,32245210,32576070,32927520,33317660,33726920,34126550,34483980,34880490,..,..
Chile,15397780,15571680,15745580,15919480,16093380,16267280,16432670,16598070,16763470,16928870,17094280,17248450,17402630,17556820,..
Czech Republic,10272500,10224190,10200770,10201650,10206920,10234090,10266650,10322690,10429690,10491490,10517250,10496670,10509290,10510720,10524780
Denmark,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,..
Estonia,1379342,1373510,1367507,1361564,1356152,1351231,1346034,1342330,1340264,1338497,1336886,1334947,1329301,1320174,..
Finland,5175000,5187000,5200000,5211000,5227000,5248000,5267000,5290000,5313000,5338000,5362000,5386000,5413000,5440000,..
France,59062380,59476240,59893870,60303630,60734340,61181500,61597480,61965050,62300290,62615470,62917790,63223160,63514000,63786140,64062250
Germany,82211500,82349930,82488500,82534180,82516260,82469420,82376450,82266370,82110100,81902300,81776930,81039750,80425820,80645610,..
Greece,10917480,10950000,10983000,11016000,11057000,11093000,11131000,11163000,11186000,11185000,11153000,11124000,11090000,..,..
Hungary,10210970,10187580,10158610,10129550,10107150,10087070,10071370,10055780,10038190,10022650,10000020,9958823,9920361,9886774,..
Iceland,281154,285054,287559,289272,292587,295864,304334,311396,319355,319246,318006,319013.5,..,..,..
Ireland,3789500,3847200,3917200,3979900,4045200,4133800,4232900,4375800,4485100,4533400,4554800,4574900,4585400,4593100,4609600
Israel,6289200,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059456,..
Italy,56942110,56977220,57157410,57604660,58175310,58607040,58941500,59375290,59832180,60192700,60483380,60626440,60916200,61178360,..
Japan,126926000,127291000,127435000,127619000,127687000,127768000,127770000,127771000,127692000,127510000,128057000,127799000,127515000,127298000,..
Korea,47008110,47357360,47622180,47859310,48039420,48138080,48371940,48597650,48948700,49182040,49410370,49779440,50004440,50219670,50423960
Luxembourg,436300,441525,446175,451630,458095,465158,472636,479993,488649,497783,506953,518346,530946,..,..
Mexico,100895800,102122300,103417900,104719900,105951600,107151000,108408800,109787400,111299000,112852600,114255600,115682900,117053800,118395100,..
Netherlands,15925510,16046180,16148930,16225300,16281780,16319870,16346100,16381700,16445590,16530390,16615390,16693070,16754960,16804430,..
New Zealand,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700
Norway,4490966,4513751,4538159,4564854,4591910,4623291,4660676,4709152,4768211,4828725,4889252,4953000,5019000,5080000,5137000
Poland,38255940,38250790,38232300,38195180,38180250,38161310,38132280,38115970,38115910,38153390,38516690,38525670,38533790,..,..
Portugal,10289900,10362720,10419630,10458820,10483860,10503330,10522290,10542960,10558180,10568250,10573100,10557560,10514840,10457300,..
Slovak Republic,5388720,5378867,5376912,5373374,5372280,5372806,5373054,5374622,5379232,5386405,5391428,5398384,5407579,5415949,..
Slovenia,1990272,1992035,1995718,1996773,1997004,2001114,2008516,2019406,2022629,2042335,2049261,2052496,2056262,2059114,2061623
Spain,40554390,40766050,41423520,42196230,42859170,43662610,44360520,45236000,45983170,46367550,46562480,46736260,46766400,46593240,46464050
Sweden,8872109,8895960,8924958,8958229,8993531,9029572,9080504,9148092,9219637,9298514,9378126,9449212,9519374,9609000,..
Switzerland,7184250,7226647,7284754,7339002,7389626,7437116,7483935,7551117,7647676,7744000,7827970,7912398,..,..,..
Turkey,64268750,65166330,66002500,66794550,67598740,68435380,69295260,70158110,71051680,72039210,73142150,74223630,75175820,76054620,..
United Kingdom,58886000,59113000,58569630,58838950,59149120,59591040,60002570,60481820,60982380,61423720,61914640,62435200,62858800,63237940,63650010
United States,282162400,284969000,287625200,290107900,292805300,295516600,298379900,301231200,304094000,306771500,309347100,311721600,314112100,316497500,318857100
G7,696876200,701195300,704523300,708648000,713008000,717378800,721644000,726018200,730328600,734142700,738623400,741329200,744222400,747961100,..
OECD - Total,1152639000,1160624000,1168022000,1176212000,1184415000,1192754000,1201155000,1210194000,1219475000,1227932000,1236914000,1243751000,1250277000,1257114000,..
World,6127700000,6204147000,6280854000,6357992000,6435705000,6514095000,6593228000,6673106000,6753649000,6834722000,6916184000,6997999000,7080072000,7162120000,..
Brazil,171279900,173808000,176303900,178741400,181105600,183383200,185564200,187641700,189612800,191480600,193252600,194932700,196526300,..,..
China (People's Republic of),1280429000,1287890000,1295322000,1302810000,1310414000,1318177000,1326146000,1334344000,1342733000,1351248000,1359821000,1368440000,1377065000,1385567000,..
Colombia,40295560,40813540,41328820,41848960,42368490,42888590,43405960,43926930,44451150,44978830,45509580,46044600,46581820,47121090,..
India,1042262000,1059501000,1076706000,1093787000,1110626000,1127144000,1143289000,1159095000,1174662000,1190138000,1205625000,1221156000,1236687000,1252140000,..
Indonesia,208938700,211970400,215038300,218145600,221293800,224480900,227709800,230972800,234243500,237486900,240676500,243801600,246864200,249865600,..
Russia,146597000,145976000,145306000,144649000,144067000,143519000,143050000,142805000,142742000,142785000,142849000,142961000,143207000,143507000,..
South Africa,44846290,45513220,46187790,46869030,47553020,48235290,48919360,49602780,50267490,50889540,51452350,51949040,52385920,..,..
