"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","AGRWTH","A","1957",2.270316,
"AUS","POP","TOT","AGRWTH","A","1958",2.095436,
"AUS","POP","TOT","AGRWTH","A","1959",2.174355,
"AUS","POP","TOT","AGRWTH","A","1960",2.177804,
"AUS","POP","TOT","AGRWTH","A","1961",2.269586,
"AUS","POP","TOT","AGRWTH","A","1962",1.829999,
"AUS","POP","TOT","AGRWTH","A","1963",1.928882,
"AUS","POP","TOT","AGRWTH","A","1964",1.968479,
"AUS","POP","TOT","AGRWTH","A","1965",1.971839,
"AUS","POP","TOT","AGRWTH","A","1966",2.280225,
"AUS","POP","TOT","AGRWTH","A","1967",1.720592,
"AUS","POP","TOT","AGRWTH","A","1968",1.776046,
"AUS","POP","TOT","AGRWTH","A","1969",2.118301,
"AUS","POP","TOT","AGRWTH","A","1970",1.992455,"B"
"AUS","POP","TOT","AGRWTH","A","1971",4.476696,
"AUS","POP","TOT","AGRWTH","A","1972",1.809093,
"AUS","POP","TOT","AGRWTH","A","1973",1.509915,
"AUS","POP","TOT","AGRWTH","A","1974",1.614516,
"AUS","POP","TOT","AGRWTH","A","1975",1.241925,
"AUS","POP","TOT","AGRWTH","A","1976",1.008335,
"AUS","POP","TOT","AGRWTH","A","1977",1.134113,
"AUS","POP","TOT","AGRWTH","A","1978",1.176848,
"AUS","POP","TOT","AGRWTH","A","1979",1.089708,
"AUS","POP","TOT","AGRWTH","A","1980",1.237465,
"AUS","POP","TOT","AGRWTH","A","1981",1.550857,
"AUS","POP","TOT","AGRWTH","A","1982",1.74886,
"AUS","POP","TOT","AGRWTH","A","1983",1.377908,
"AUS","POP","TOT","AGRWTH","A","1984",1.207778,
"AUS","POP","TOT","AGRWTH","A","1985",1.341009,
"AUS","POP","TOT","AGRWTH","A","1986",1.457015,
"AUS","POP","TOT","AGRWTH","A","1987",1.532767,
"AUS","POP","TOT","AGRWTH","A","1988",1.649607,
"AUS","POP","TOT","AGRWTH","A","1989",1.70729,
"AUS","POP","TOT","AGRWTH","A","1990",1.491054,
"AUS","POP","TOT","AGRWTH","A","1991",1.28278,
"AUS","POP","TOT","AGRWTH","A","1992",1.128,
"AUS","POP","TOT","AGRWTH","A","1993",0.8924996,
