,Country Name,Country Code,2015
0,Afghanistan,AFG,652860.0
1,Albania,ALB,28750.0
2,Algeria,DZA,2381740.0
3,American Samoa,ASM,200.0
4,Andorra,ADO,470.0
5,Angola,AGO,1246700.0
6,Antigua and Barbuda,ATG,440.0
7,Argentina,ARG,2780400.0
8,Armenia,ARM,29740.0
9,Aruba,ABW,180.0
10,Australia,AUS,7741220.0
11,Austria,AUT,83879.0
12,Azerbaijan,AZE,86600.0
13,"Bahamas, The",BHS,13880.0
14,Bahrain,BHR,770.0
15,Bangladesh,BGD,148460.0
16,Barbados,BRB,430.0
17,Belarus,BLR,207600.0
18,Belgium,BEL,30530.0
19,Belize,BLZ,22970.0
20,Benin,BEN,114760.0
21,Bermuda,BMU,50.0
22,Bhutan,BTN,38394.0
23,Bolivia,BOL,1098580.0
24,Bosnia and Herzegovina,BIH,51210.0
25,Botswana,BWA,581730.0
26,Brazil,BRA,8515770.0
27,British Virgin Islands,VGB,150.0
28,Brunei Darussalam,BRN,5770.0
29,Bulgaria,BGR,111000.0
30,Burkina Faso,BFA,274220.0
31,Burundi,BDI,27830.0
32,Cabo Verde,CPV,4030.0
33,Cambodia,KHM,181040.0
34,Cameroon,CMR,475440.0
35,Canada,CAN,9984670.0
36,Cayman Islands,CYM,264.0
37,Central African Republic,CAF,622980.0
38,Chad,TCD,1284000.0
39,Channel Islands,CHI,190.0
40,Chile,CHL,756096.0
41,China,CHN,9562911.0
42,Colombia,COL,1141749.0
43,Comoros,COM,1861.0
44,"Congo, Dem. Rep.",ZAR,2344860.0
45,"Congo, Rep.",COG,342000.0
46,Costa Rica,CRI,51100.0
47,Cote d'Ivoire,CIV,322460.0
48,Croatia,HRV,56590.0
49,Cuba,CUB,109880.0
50,Curacao,CUW,444.0
51,Cyprus,CYP,9250.0
52,Czech Republic,CZE,78870.0
53,Denmark,DNK,43090.0
54,Djibouti,DJI,23200.0
55,Dominica,DMA,750.0
56,Dominican Republic,DOM,48670.0
57,Ecuador,ECU,256370.0
58,"Egypt, Arab Rep.",EGY,1001450.0
59,El Salvador,SLV,21040.0
60,Equatorial Guinea,GNQ,28050.0
61,Eritrea,ERI,117600.0
62,Estonia,EST,45230.0
63,Ethiopia,ETH,1104300.0
64,Faroe Islands,FRO,1396.0
65,Fiji,FJI,18270.0
66,Finland,FIN,338420.0
67,France,FRA,549087.0
68,French Polynesia,PYF,4000.0
69,Gabon,GAB,267670.0
70,"Gambia, The",GMB,11300.0
71,Georgia,GEO,69700.0
72,Germany,DEU,357170.0
73,Ghana,GHA,238540.0
74,Gibraltar,GIB,10.0
75,Greece,GRC,131960.0
76,Greenland,GRL,410450.0
77,Grenada,GRD,340.0
78,Guam,GUM,540.0
79,Guatemala,GTM,108890.0
80,Guinea,GIN,245860.0
81,Guinea-Bissau,GNB,36130.0
82,Guyana,GUY,214970.0
83,Haiti,HTI,27750.0
84,Honduras,HND,112490.0
85,"Hong Kong SAR, China",HKG,1100.0
86,Hungary,HUN,93030.0
87,Iceland,ISL,103000.0
88,India,IND,3287260.0
89,Indonesia,IDN,1910930.0
90,"Iran, Islamic Rep.",IRN,1745150.0
91,Iraq,IRQ,435240.0
92,Ireland,IRL,70280.0
93,Isle of Man,IMY,570.0
94,Israel,ISR,22070.0
95,Italy,ITA,301340.0
96,Jamaica,JAM,10990.0
97,Japan,JPN,377962.0
98,Jordan,JOR,89320.0
99,Kazakhstan,KAZ,2724902.0
100,Kenya,KEN,580370.0
101,Kiribati,KIR,810.0
102,"Korea, Dem. People’s Rep.",PRK,120540.0
103,"Korea, Rep.",KOR,100266.0
104,Kosovo,KSV,10887.0
105,Kuwait,KWT,17820.0
106,Kyrgyz Republic,KGZ,199949.0
107,Lao PDR,LAO,236800.0
108,Latvia,LVA,64490.0
109,Lebanon,LBN,10450.0
110,Lesotho,LSO,30360.0
111,Liberia,LBR,111370.0
112,Libya,LBY,1759540.0
113,Liechtenstein,LIE,160.0
114,Lithuania,LTU,65300.0
115,Luxembourg,LUX,2590.0
116,"Macao SAR, China",MAC,30.3
117,"Macedonia, FYR",MKD,25710.0
118,Madagascar,MDG,587295.0
119,Malawi,MWI,118480.0
120,Malaysia,MYS,330800.0
121,Maldives,MDV,300.0
122,Mali,MLI,1240190.0
123,Malta,MLT,320.0
124,Marshall Islands,MHL,180.0
125,Mauritania,MRT,1030700.0
126,Mauritius,MUS,2040.0
127,Mexico,MEX,1964380.0
128,"Micronesia, Fed. Sts.",FSM,700.0
129,Moldova,MDA,33850.0
130,Monaco,MCO,2.0
131,Mongolia,MNG,1564120.0
132,Montenegro,MNE,13810.0
133,Morocco,MAR,446550.0
134,Mozambique,MOZ,799380.0
135,Myanmar,MMR,676590.0
136,Namibia,NAM,824290.0
137,Nauru,NRU,20.0
138,Nepal,NPL,147180.0
139,Netherlands,NLD,41500.0
