Region,Territory Level and Typology,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AUS: Australia,Country,567995,599254,635472,674776,718813,773858,825383,850583,897942,935669,984763,999200,1040380,1063060
  AU1: New South Wales,Large regions (TL2),200309,209951,221370,231011,239647,251489,264572,267779,286602,294081,307250,313826,323552,..
  AU2: Victoria,,141526,150204,156785,165302,170026,180427,192345,190456,204953,207200,216065,222163,230171,..
  AU3: Queensland,,97617.1,102269,111961,123810,138523,152069,161994,174611,174131,178374,188657,189453,194692,..
  AU4: South Australia,,39482.7,41527.4,43764.4,45393.8,47414.3,50550.8,54323.4,54189.3,57975.2,59661.9,60999.2,61758.2,63712.6,..
  AU5: Western Australia,,60940.9,64929,68951.7,74632.4,86274.7,99029.9,108755,119477,126245,147459,160674,159537,173803,..
  AU6: Tasmania,,10284.3,10941.4,12088,12564.5,13276.9,14688.7,15222.1,14853.2,16227.4,16179.7,16209.9,16167.8,16458.2,..
  AU7: Northern Territory (NT),,6470.77,6787.18,7051.17,7750.26,8514.39,9350.84,10659.6,11163.1,11295.9,11628.5,12550.2,13082,14390.6,..
  AU8: Australian Capital Territory (ACT),,11366.1,12645.1,13502,14311.6,15136.6,16252,17511.7,18054.5,20513.6,21085.2,22357.3,23212.4,23597,..
AUT: Austria,Country,240058,252655,261504,276292,285433,311310,325501,342442,339017,349626,369474,378276,382263,..
  AT11: Burgenland (AT),Large regions (TL2),5374.95,5761.97,6006.69,6410.07,6392.12,6845.89,7137.23,7441.69,7552.98,7884.79,8292.59,8718.35,8867.08,..
    AT111: Mittelburgenland,Small regions (TL3) - predominantly rural close to a city,675.14,691.08,751.68,764.22,742.33,822.44,836.96,837.54,856.46,863.94,915.68,921.8,..,..
    AT112: Nordburgenland,,2931.79,3153.96,3294.28,3655.22,3654.09,3928.79,4091.43,4274.52,4323.77,4528.85,4765.13,5128.93,..,..
    AT113: Südburgenland,,1768.02,1916.94,1960.72,1989.49,1994.58,2093.49,2207.69,2331.98,2372.74,2493.18,2612.98,2670,..,..
  AT12: Lower Austria,Large regions (TL2),37240.7,38913.7,40471,43425.6,44143.5,48383.9,51284.1,54191.6,53280.7,54772.8,57941.6,59332.7,59840.7,..
    AT121: Mostviertel-Eisenwurzen,Small regions (TL3) - predominantly rural close to a city,5337.86,5420.34,5652.35,6006.23,6145.05,6807.34,7243.29,7581.29,7363.45,7495,8005.31,8238.97,..,..
    AT122: Niederösterreich-Süd,,5300.78,5514.12,5751.97,6040.55,6242.07,6717.38,7194.87,7513.25,7273.42,7596.01,7995.74,8184.11,..,..
    AT123: Sankt Pölten,,4251.53,4473.6,4728.6,4887.35,5051.87,5578.35,5882.94,6195.94,6260.59,6457.56,6719.77,6923.64,..,..
    AT124: Waldviertel,Small regions (TL3) - predominantly rural remote,4436.95,4662.28,4838.4,5151.63,5121.82,5460.36,5696.18,6086.85,5940.75,6188.99,6543.82,6615.98,..,..
    AT125: Weinviertel,Small regions (TL3) - predominantly rural close to a city,1920.72,1982.81,2078.45,2195.42,2152.52,2343.49,2512.04,2646.35,2628.62,2663.12,2900.25,2797.6,..,..
    AT126: Wiener Umland/Nordteil,Small regions (TL3) - predominantly urban,5527.65,5801.05,6054.23,6690.36,6762.15,7572.54,8020.31,8920.88,8712.7,8972.14,9750.49,9997.9,..,..
